timestamp,speaker,text,conversation_id,utterance_raw,reply_to
1332712704,Ric,Aoo angovi ɣase aoo vinjo thamauke va nyau yanle?,/vamale1/vamaleE,Aoo angovi ɣase aoo vinjo thamauke va nyau yanle?,None
1332722704,Rie,taɣua va thamauke ɲakoe va angovi ɣase.,/vamale1/vamaleie,ua va thamauke ɲakoe v,None
1332732704,Ric,Va vinjo taɣua daa thanga ɲakoe daa ɣase angovi,/vamale1/vamale-vie,aa thanga ɲakoe daa ɣase,None
1332742704,Rie,a nyau thapoke va ɲakoe,/vamale1/vamale-MS,thapoke va ɲak,None
1332755704,Ric,ɲakoe va ɣananda konaa va ɣananda vinjo ,/vamale1/vamaleMS,ɣnaa va ɣananda vin,None
1332766704,Rie,o ɣase va angovi angovi nea,/vamale1/vamaleMS,va angovi angovi,None
1332777704,Ric,au nyau aoo thamauke ɣase daa ya,/vamale1/vamalen-MS,limyau aoo thamauke ɣase daaa,None
1332788804,Rie,uke! Daa ɣananda thamauke va ɣase t,/vamale1/vamaleMS,ke! Daa ɣananda tham,None
1332799904,Ric,yanle konaa daa thamauke ɣananda va,/vamale1/vamale4,konaa daa,None
1332792704,Rie,ga nyau va vinjo konaa daa ɣanand,/vamale1/vamale4,au va vinjo konaa daa ɣa,None
